URL,Path,Division,Group / Sector,Page Type,Industry / Entity,Service / Solution,Parent Hub,Indexation,Launch Phase,Primary Intent,XML Sitemap,Reference / Source
https://www.consultusdigital.com/dtc-marketing-agency/,/dtc-marketing-agency/,DTC,,Division Marketing Agency Hub,DTC,,/divisions/,Index,Phase 1,dtc marketing agency,dtc-division-sitemap.xml,https://www.cardinaldigitalmarketing.com/healthcare-specialties/mental-healthcare-providers-agency/
https://www.consultusdigital.com/dtc-industries/,/dtc-industries/,DTC,,Industry Directory,DTC industries,,/dtc-marketing-agency/,Index,Phase 1,dtc marketing agency industries,dtc-industry-agency-sitemap.xml,https://www.cardinaldigitalmarketing.com/healthcare-specialties/mental-healthcare-providers-agency/
https://www.consultusdigital.com/dtc-marketing-services/,/dtc-marketing-services/,DTC,,Division Service Hub,DTC marketing services,,/dtc-marketing-agency/,Index,Phase 1,dtc marketing services,dtc-service-industry-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/,/dtc-marketing-agency/solutions/,DTC,,Division Solution Hub,DTC solutions,,/dtc-marketing-agency/,Index,Phase 1,dtc solutions,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/case-studies/,/dtc-marketing-agency/case-studies/,DTC,,Division Case Study Hub,DTC case studies,,/dtc-marketing-agency/,Index,Phase 1,dtc case studies,case-study-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/insights/,/dtc-marketing-agency/insights/,DTC,,Division Insight Hub,DTC insights,,/dtc-marketing-agency/,Index,Phase 1,dtc insights,post-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/lead-strategist/,/dtc-marketing-agency/lead-strategist/,DTC,,Division Lead Strategist,DTC lead strategist,,/dtc-marketing-agency/,Index,Phase 1,dtc lead strategist,expert-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/growth-assessment/,/dtc-marketing-agency/growth-assessment/,DTC,,Division Assessment,DTC growth assessment,,/dtc-marketing-agency/,Index,Phase 1,dtc growth assessment,resource-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/customer-acquisition/,/dtc-marketing-agency/solutions/customer-acquisition/,DTC,,Division Solution,Customer acquisition,Customer acquisition,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc customer acquisition,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/creative-testing/,/dtc-marketing-agency/solutions/creative-testing/,DTC,,Division Solution,Creative testing,Creative testing,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc creative testing,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/conversion-optimization/,/dtc-marketing-agency/solutions/conversion-optimization/,DTC,,Division Solution,Conversion optimization,Conversion optimization,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc conversion optimization,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/product-launches/,/dtc-marketing-agency/solutions/product-launches/,DTC,,Division Solution,Product launches,Product launches,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc product launches,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/retention-and-lifecycle-growth/,/dtc-marketing-agency/solutions/retention-and-lifecycle-growth/,DTC,,Division Solution,Retention and lifecycle growth,Retention and lifecycle growth,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc retention and lifecycle growth,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/profitability-and-attribution/,/dtc-marketing-agency/solutions/profitability-and-attribution/,DTC,,Division Solution,Profitability and attribution,Profitability and attribution,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc profitability and attribution,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/marketplace-expansion/,/dtc-marketing-agency/solutions/marketplace-expansion/,DTC,,Division Solution,Marketplace expansion,Marketplace expansion,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc marketplace expansion,dtc-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/dtc-marketing-agency/solutions/international-growth/,/dtc-marketing-agency/solutions/international-growth/,DTC,,Division Solution,International growth,International growth,/dtc-marketing-agency/solutions/,Index,Phase 1,dtc international growth,dtc-solutions-sitemap.xml,Consultus architecture
