URL,Path,Division,Group / Sector,Page Type,Industry / Entity,Service / Solution,Parent Hub,Indexation,Launch Phase,Primary Intent,XML Sitemap,Reference / Source
https://www.consultusdigital.com/,/,Corporate,,Homepage,Homepage,,/,Index,Phase 1,performance digital marketing and sales enablement agency,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/divisions/,/divisions/,Corporate,,Division Hub,Division Hub,,/,Index,Phase 1,industry specialized digital marketing agency,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/,/capabilities/,Corporate,,Capability Hub,Capability Hub,,/,Index,Phase 1,digital marketing capabilities,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/,/growth-solutions/,Corporate,,Solution Hub,Solution Hub,,/,Index,Phase 1,growth solutions,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/work/,/work/,Corporate,,Case Study Hub,Case Study Hub,,/,Index,Phase 1,digital marketing case studies,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/insights/,/insights/,Corporate,,Insight Hub,Insight Hub,,/,Index,Phase 1,digital marketing insights,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/experts/,/experts/,Corporate,,Expert Hub,Expert Hub,,/,Index,Phase 1,digital marketing experts,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/about/,/about/,Corporate,,About,About,,/,Index,Phase 1,about Consultus Digital,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/contact/,/contact/,Corporate,,Contact,Contact,,/,Index,Phase 1,contact Consultus Digital,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/book-a-strategy-call/,/book-a-strategy-call/,Corporate,,Conversion,Conversion,,/,Index,Phase 1,book marketing strategy call,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/,/healthcare-marketing-agency/,Healthcare,,Division Marketing Agency Hub,Healthcare,,/divisions/,Index,Phase 1,healthcare marketing agency,healthcare-division-sitemap.xml,https://www.cardinaldigitalmarketing.com/healthcare-specialties/mental-healthcare-providers-agency/
https://www.consultusdigital.com/healthcare-specialties/,/healthcare-specialties/,Healthcare,,Industry Directory,Healthcare industries,,/healthcare-marketing-agency/,Index,Phase 1,healthcare marketing agency industries,healthcare-industry-agency-sitemap.xml,https://www.cardinaldigitalmarketing.com/healthcare-specialties/mental-healthcare-providers-agency/
https://www.consultusdigital.com/healthcare-marketing-services/,/healthcare-marketing-services/,Healthcare,,Division Service Hub,Healthcare marketing services,,/healthcare-marketing-agency/,Index,Phase 1,healthcare marketing services,healthcare-service-industry-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/solutions/,/healthcare-marketing-agency/solutions/,Healthcare,,Division Solution Hub,Healthcare solutions,,/healthcare-marketing-agency/,Index,Phase 1,healthcare solutions,healthcare-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/case-studies/,/healthcare-marketing-agency/case-studies/,Healthcare,,Division Case Study Hub,Healthcare case studies,,/healthcare-marketing-agency/,Index,Phase 1,healthcare case studies,case-study-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/insights/,/healthcare-marketing-agency/insights/,Healthcare,,Division Insight Hub,Healthcare insights,,/healthcare-marketing-agency/,Index,Phase 1,healthcare insights,post-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/lead-strategist/,/healthcare-marketing-agency/lead-strategist/,Healthcare,,Division Lead Strategist,Healthcare lead strategist,,/healthcare-marketing-agency/,Index,Phase 1,healthcare lead strategist,expert-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/growth-assessment/,/healthcare-marketing-agency/growth-assessment/,Healthcare,,Division Assessment,Healthcare growth assessment,,/healthcare-marketing-agency/,Index,Phase 1,healthcare growth assessment,resource-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/solutions/patient-acquisition/,/healthcare-marketing-agency/solutions/patient-acquisition/,Healthcare,,Division Solution,Patient acquisition,Patient acquisition,/healthcare-marketing-agency/solutions/,Index,Phase 1,healthcare patient acquisition,healthcare-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/solutions/patient-reactivation/,/healthcare-marketing-agency/solutions/patient-reactivation/,Healthcare,,Division Solution,Patient reactivation,Patient reactivation,/healthcare-marketing-agency/solutions/,Index,Phase 1,healthcare patient reactivation,healthcare-solutions-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/healthcare-marketing-agency/solutions/appointment-conversion/,/healthcare-marketing-agency/solutions/appointment-conversion/,Healthcare,,Division Solution,Appointment conversion,Appointment conversion,/healthcare-marketing-agency/solutions/,Index,Phase 1,healthcare appointment conversion,healthcare-solutions-sitemap.xml,Consultus architecture
