URL,Path,Division,Group / Sector,Page Type,Industry / Entity,Service / Solution,Parent Hub,Indexation,Launch Phase,Primary Intent,XML Sitemap,Reference / Source
https://www.consultusdigital.com/,/,Corporate,,Homepage,Homepage,,/,Index,Phase 1,performance digital marketing and sales enablement agency,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/divisions/,/divisions/,Corporate,,Division Hub,Division Hub,,/,Index,Phase 1,industry specialized digital marketing agency,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/,/capabilities/,Corporate,,Capability Hub,Capability Hub,,/,Index,Phase 1,digital marketing capabilities,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/,/growth-solutions/,Corporate,,Solution Hub,Solution Hub,,/,Index,Phase 1,growth solutions,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/work/,/work/,Corporate,,Case Study Hub,Case Study Hub,,/,Index,Phase 1,digital marketing case studies,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/insights/,/insights/,Corporate,,Insight Hub,Insight Hub,,/,Index,Phase 1,digital marketing insights,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/experts/,/experts/,Corporate,,Expert Hub,Expert Hub,,/,Index,Phase 1,digital marketing experts,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/about/,/about/,Corporate,,About,About,,/,Index,Phase 1,about Consultus Digital,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/contact/,/contact/,Corporate,,Contact,Contact,,/,Index,Phase 1,contact Consultus Digital,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/book-a-strategy-call/,/book-a-strategy-call/,Corporate,,Conversion,Conversion,,/,Index,Phase 1,book marketing strategy call,page-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/paid-media/,/capabilities/paid-media/,Corporate,,Shared Capability,Paid Media,,/capabilities/,Index,Phase 1,paid media agency,service-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/performance-creative/,/capabilities/performance-creative/,Corporate,,Shared Capability,Performance Creative,,/capabilities/,Index,Phase 1,performance creative agency,service-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/seo-ai-search/,/capabilities/seo-ai-search/,Corporate,,Shared Capability,SEO and AI Search,,/capabilities/,Index,Phase 1,seo and ai search agency,service-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/content-authority/,/capabilities/content-authority/,Corporate,,Shared Capability,Content and Authority,,/capabilities/,Index,Phase 1,content and authority agency,service-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/websites-cro/,/capabilities/websites-cro/,Corporate,,Shared Capability,Websites and CRO,,/capabilities/,Index,Phase 1,websites and cro agency,service-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/crm-automation/,/capabilities/crm-automation/,Corporate,,Shared Capability,CRM and Automation,,/capabilities/,Index,Phase 1,crm and automation agency,service-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/capabilities/analytics-intelligence/,/capabilities/analytics-intelligence/,Corporate,,Shared Capability,Analytics and Intelligence,,/capabilities/,Index,Phase 1,analytics and intelligence agency,service-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/multi-location-growth/,/growth-solutions/multi-location-growth/,Corporate,,Shared Solution,Multi-location growth,,/growth-solutions/,Index,Phase 1,multi-location growth,solution-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/market-expansion/,/growth-solutions/market-expansion/,Corporate,,Shared Solution,Market expansion,,/growth-solutions/,Index,Phase 1,market expansion,solution-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/new-location-launch/,/growth-solutions/new-location-launch/,Corporate,,Shared Solution,New location launch,,/growth-solutions/,Index,Phase 1,new location launch,solution-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/lead-conversion/,/growth-solutions/lead-conversion/,Corporate,,Shared Solution,Lead conversion,,/growth-solutions/,Index,Phase 1,lead conversion,solution-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/sales-enablement/,/growth-solutions/sales-enablement/,Corporate,,Shared Solution,Sales enablement,,/growth-solutions/,Index,Phase 1,sales enablement,solution-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/marketing-attribution/,/growth-solutions/marketing-attribution/,Corporate,,Shared Solution,Marketing attribution,,/growth-solutions/,Index,Phase 1,marketing attribution,solution-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/digital-transformation/,/growth-solutions/digital-transformation/,Corporate,,Shared Solution,Digital transformation,,/growth-solutions/,Index,Phase 1,digital transformation,solution-sitemap.xml,Consultus architecture
https://www.consultusdigital.com/growth-solutions/talent-acquisition/,/growth-solutions/talent-acquisition/,Corporate,,Shared Solution,Talent acquisition,,/growth-solutions/,Index,Phase 1,talent acquisition,solution-sitemap.xml,Consultus architecture
